Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R009492,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Hopewell Fund,11/01/21-10/31/22
R009497,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Energy Action Fund,11/01/21-10/31/22
R009493,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Horizon Foundation of Howard County, Inc., The",11/01/21-10/31/22
R006718,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",11/20/20-10/31/21
R006715,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,11/20/20-10/31/21
R006726,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",New Venture Fund,11/20/20-10/31/21
R003541,"Anderson, LaKeitha ",RAI Services Company,RAI Services Company,02/04/20-10/31/20
R009489,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",1199 SEIU,11/01/21-10/31/22
R007250,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland Workforce Alliance,01/13/21-10/31/21
R002798,"Andrade, Jeffrey R",McKeon Group,Cicero Group,12/03/19-04/01/20
R003885,"Andrews, Erin ","FAIR Fund, Inc.","Fair Girls, Inc.",01/29/20-10/31/20
R002842,"Andryszak, John A.", Law Office of John A Andryszak,Ntional Association of Surety Bond Producers,02/27/20-04/30/20
R008241,"Andryszak, John A.", Law Office of John A Andryszak,American International Group,11/01/21-10/31/22
R008239,"Andryszak, John A.", Law Office of John A Andryszak,"Chubb & Sons, A Division of Federal Insurance Company",11/01/21-10/31/22
R005342,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",11/01/20-10/31/21
R002850,"Andryszak, John A.", Law Office of John A Andryszak,"Travelers Companies, Inc and Subsidiaries",12/09/19-10/31/20
R005345,"Andryszak, John A.", Law Office of John A Andryszak,American International Group,11/01/20-10/31/21
R002844,"Andryszak, John A.", Law Office of John A Andryszak,"Chubb & Sons, A Division of Federal Insurance Company",12/09/19-10/31/20
R002848,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",12/09/19-10/31/20
R002849,"Andryszak, John A.", Law Office of John A Andryszak,CSAA Insurance Exchange (AAA),12/09/19-10/31/20
R003610,"Andryszak, John A.", Law Office of John A Andryszak,Reinsurance Association of America,02/12/20-04/30/20
R008243,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",11/01/21-10/31/22
R008240,"Andryszak, John A.", Law Office of John A Andryszak,"Travelers Companies, Inc and Subsidiaries",11/01/21-10/31/22
R007549,"Andryszak, John A.", Law Office of John A Andryszak,Ntional Association of Surety Bond Producers,02/26/21-10/31/21
R005324,"Andryszak, John A.", Law Office of John A Andryszak,"Travelers Companies, Inc and Subsidiaries",11/01/20-10/31/21
R002847,"Andryszak, John A.", Law Office of John A Andryszak,American International Group,12/09/19-10/31/20
R005328,"Andryszak, John A.", Law Office of John A Andryszak,"Chubb & Sons, A Division of Federal Insurance Company",11/01/20-10/31/21
R006547,"Antoine, Joanne ",Common Cause Maryland,Common Cause Maryland,11/01/20-10/31/21
R002764,"Antoine, Joanne ",Common Cause Maryland,Common Cause Maryland,12/02/19-10/31/20
R000831,"Appel, Erin ","Capitol Strategies, LLC",Bombardier Mass Transit Corporation,11/01/19-10/31/20
R000833,"Appel, Erin ","Capitol Strategies, LLC",Centurion,11/01/19-10/31/20
R000838,"Appel, Erin ","Capitol Strategies, LLC",Chesapeake Regional Information System for our Patients,11/01/19-10/31/20
R000823,"Appel, Erin ","Capitol Strategies, LLC","American Express Travel Related Services, Inc.",11/01/19-10/31/20
R000825,"Appel, Erin ","Capitol Strategies, LLC",Anne Arundel Medical Center,11/01/19-10/31/20
R000949,"Appel, Erin ","Capitol Strategies, LLC","Erickson Living Management, LLC",11/01/19-10/31/20
R001072,"Appel, Erin ","Capitol Strategies, LLC","MTC Logistics, Inc.",11/01/19-10/31/20
R001367,"Appel, Erin ","Capitol Strategies, LLC",Slice Wireless Solutions,11/01/19-10/31/20
R001534,"Appel, Erin ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/19-10/31/20
R009662,"Appel, Erin ","Capitol Strategies, LLC",Tradepoint Atlantic c/o Redwood Capital,11/01/21-10/31/22
R009590,"Appel, Erin ","Capitol Strategies, LLC",Association for Accessible Medicines,11/01/21-10/31/22
R009568,"Appel, Erin ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/21-10/31/22
R009589,"Appel, Erin ","Capitol Strategies, LLC",W.L. Gore & Associates,11/01/21-10/31/22
R009582,"Appel, Erin ","Capitol Strategies, LLC",Bard Early College,11/01/21-10/31/22
R009379,"Appel, Erin ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/21-10/31/22
R009342,"Appel, Erin ","Capitol Strategies, LLC","Aramark Correctional Services, LLC",11/01/21-10/31/22
R007498,"Appel, Erin ","Capitol Strategies, LLC","Al Fakher Distribution USA, Inc",02/15/21-10/31/21
R005314,"Appel, Erin ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/20-10/31/21
R005348,"Appel, Erin ","Capitol Strategies, LLC",Covanta Energy LLC,11/01/20-10/31/21
R007672,"Appel, Erin ","Capitol Strategies, LLC",Auction.com,03/26/21-10/31/21
R005521,"Appel, Erin ","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/20-10/31/21
R005528,"Appel, Erin ","Capitol Strategies, LLC","Lyft, Inc.",11/01/20-10/31/21
R005846,"Appel, Erin ","Capitol Strategies, LLC",Verizon Communications,11/01/20-10/31/21
R005675,"Appel, Erin ","Capitol Strategies, LLC",Slice Wireless Solutions,11/01/20-10/31/21
R000810,"Appel, Erin ","Capitol Strategies, LLC",Accenture LLP,11/01/19-10/31/20
R000828,"Appel, Erin ","Capitol Strategies, LLC",Association for Accessible Medicines,11/01/19-10/31/20
R000948,"Appel, Erin ","Capitol Strategies, LLC",Educational Testing Service (ETS),11/01/19-10/31/20
R001058,"Appel, Erin ","Capitol Strategies, LLC","Lyft, Inc.",11/01/19-10/31/20
R001546,"Appel, Erin ","Capitol Strategies, LLC",Tradepoint Atlantic,11/01/19-10/31/20
R003043,"Appel, Erin ","Capitol Strategies, LLC","Maryland Geothermal Association, The",01/01/20-10/31/20
R004113,"Appel, Erin ","Capitol Strategies, LLC",Maxim Healthcare Services c/o Redwood Capital,09/08/20-10/31/20
R009255,"Appel, Erin ","Capitol Strategies, LLC","MTM, Inc",11/01/21-10/31/22
R009732,"Appel, Erin ","Capitol Strategies, LLC",Erickson Living Management c/o Redwood Capital Investments,11/01/21-10/31/22
R009584,"Appel, Erin ","Capitol Strategies, LLC",Centurion,11/01/21-10/31/22
R009586,"Appel, Erin ","Capitol Strategies, LLC",International Council of Shopping Centers,11/01/21-10/31/22
R009377,"Appel, Erin ","Capitol Strategies, LLC",Covanta Energy LLC,11/01/21-10/31/22
R005313,"Appel, Erin ","Capitol Strategies, LLC","Aramark Correctional Services, LLC",11/01/20-10/31/21
R005354,"Appel, Erin ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/20-10/31/21
R007047,"Appel, Erin ","Capitol Strategies, LLC",Brightview Senior Living,01/06/21-10/31/21
R007831,"Appel, Erin ","Capitol Strategies, LLC",ClassWallet,06/07/21-10/31/21
R007935,"Appel, Erin ","Capitol Strategies, LLC",Knowledge Services,08/05/21-10/31/21
R005312,"Appel, Erin ","Capitol Strategies, LLC",Luminis Health,11/01/20-10/31/21
R005519,"Appel, Erin ","Capitol Strategies, LLC",Gannett Fleming,11/01/20-10/31/21
R005534,"Appel, Erin ","Capitol Strategies, LLC",MGM Resorts International,11/01/20-10/31/21
R010968,"Appel, Erin ","Capitol Strategies, LLC","Residences at Benning Road LLC, The",11/22/21-10/31/22
R000973,"Appel, Erin ","Capitol Strategies, LLC",International Council of Shopping Centers,11/01/19-10/31/20
R001086,"Appel, Erin ","Capitol Strategies, LLC",Vanguard Retail Property Development,11/01/19-10/31/20
R001552,"Appel, Erin ","Capitol Strategies, LLC","Redwood Capital Investments, LLC",11/01/19-10/31/20
R002648,"Appel, Erin ","Capitol Strategies, LLC",Girls Who Code,11/01/19-10/31/20
R009656,"Appel, Erin ","Capitol Strategies, LLC","MTC Logistics, Inc.",11/01/21-10/31/22
R009663,"Appel, Erin ","Capitol Strategies, LLC",Veritas HHS,11/01/21-10/31/22
R009592,"Appel, Erin ","Capitol Strategies, LLC",Exelon Corporation,11/01/21-10/31/22
R009588,"Appel, Erin ","Capitol Strategies, LLC","Redwood Capital Investments, LLC",11/01/21-10/31/22
R009565,"Appel, Erin ","Capitol Strategies, LLC",Slice Wireless Solutions,11/01/21-10/31/22
R009579,"Appel, Erin ","Capitol Strategies, LLC",Knowledge Services,11/01/21-10/31/22
R009336,"Appel, Erin ","Capitol Strategies, LLC","Al Fakher Distribution USA, Inc",11/01/21-10/31/22
R009338,"Appel, Erin ","Capitol Strategies, LLC","American Express Travel Related Services, Inc.",11/01/21-10/31/22
R005315,"Appel, Erin ","Capitol Strategies, LLC",Bard Early College,11/01/20-10/31/21
R005346,"Appel, Erin ","Capitol Strategies, LLC",Centurion,11/01/20-10/31/21
R005525,"Appel, Erin ","Capitol Strategies, LLC",International Council of Shopping Centers,11/01/20-10/31/21
R005536,"Appel, Erin ","Capitol Strategies, LLC",Maryland School Bus Contractors Association,11/01/20-10/31/21
R005667,"Appel, Erin ","Capitol Strategies, LLC",Redwood Capital,11/01/20-10/31/21
R005920,"Appel, Erin ","Capitol Strategies, LLC",W.L. Gore & Associates,11/01/20-10/31/21
R000013,"Appel, Erin ","Capitol Strategies, LLC",Talkspace,11/01/19-10/31/20
R000839,"Appel, Erin ","Capitol Strategies, LLC",Compassion and Choices,11/01/19-10/31/20
R001099,"Appel, Erin ","Capitol Strategies, LLC",Veritas HHS,11/01/19-10/31/20
R001101,"Appel, Erin ","Capitol Strategies, LLC",W.L. Gore & Associates,11/01/19-10/31/20
R001579,"Appel, Erin ","Capitol Strategies, LLC",MGM Resorts International,11/01/19-10/31/20
R002443,"Appel, Erin ","Capitol Strategies, LLC",LEO Technologies,11/01/19-10/31/20
R002953,"Appel, Erin ","Capitol Strategies, LLC","Aramark Correctional Services, LLC",12/18/19-10/31/20
R009729,"Appel, Erin ","Capitol Strategies, LLC",Vanguard Retail Property Development,11/01/21-10/31/22
R009654,"Appel, Erin ","Capitol Strategies, LLC",Chesapeake Regional Information System for our Patients,11/01/21-10/31/22
R009735,"Appel, Erin ","Capitol Strategies, LLC",NorthBay Education c/o Redwood Capital,11/01/21-10/31/22
R009591,"Appel, Erin ","Capitol Strategies, LLC",Educational Testing Service (ETS),11/01/21-10/31/22
R009593,"Appel, Erin ","Capitol Strategies, LLC",Maxim Healthcare Services c/o Redwood Capital,11/01/21-10/31/22
R009587,"Appel, Erin ","Capitol Strategies, LLC",Maryland School Bus Contractors Association,11/01/21-10/31/22
R009380,"Appel, Erin ","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/21-10/31/22
R009567,"Appel, Erin ","Capitol Strategies, LLC",Luminis Health,11/01/21-10/31/22
R005239,"Appel, Erin ","Capitol Strategies, LLC","American Express Travel Related Services, Inc.",11/01/20-10/31/21
R005226,"Appel, Erin ","Capitol Strategies, LLC",Association for Accessible Medicines,11/01/20-10/31/21
R005232,"Appel, Erin ","Capitol Strategies, LLC",Accenture LLP,11/01/20-10/31/21
R005357,"Appel, Erin ","Capitol Strategies, LLC",Educational Testing Service (ETS),11/01/20-10/31/21
R005359,"Appel, Erin ","Capitol Strategies, LLC",Exelon Corporation,11/01/20-10/31/21
R005530,"Appel, Erin ","Capitol Strategies, LLC",Maxim Healthcare Services c/o Redwood Capital,11/01/20-10/31/21
R005547,"Appel, Erin ","Capitol Strategies, LLC",NorthBay Education c/o Redwood Capital,11/01/20-10/31/21
R005542,"Appel, Erin ","Capitol Strategies, LLC","MTC Logistics, Inc.",11/01/20-10/31/21
R005842,"Appel, Erin ","Capitol Strategies, LLC",Vanguard Retail Property Development,11/01/20-10/31/21
R005843,"Appel, Erin ","Capitol Strategies, LLC",Veritas HHS,11/01/20-10/31/21
R000830,"Appel, Erin ","Capitol Strategies, LLC",Bard Early College,11/01/19-10/31/20
R000829,"Appel, Erin ","Capitol Strategies, LLC",Gannett Fleming,11/01/19-10/31/20
R000943,"Appel, Erin ","Capitol Strategies, LLC",Covanta Energy LLC,11/01/19-10/31/20
R000947,"Appel, Erin ","Capitol Strategies, LLC","Verizon/DCI Group AZ, LLC",11/01/19-10/31/20
R000952,"Appel, Erin ","Capitol Strategies, LLC",Exelon Corporation,11/01/19-10/31/20
R001068,"Appel, Erin ","Capitol Strategies, LLC",Maryland School Bus Contractors Association,11/01/19-10/31/20
R001364,"Appel, Erin ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/19-10/31/20
R001545,"Appel, Erin ","Capitol Strategies, LLC","Northbay Education, Inc.",11/01/19-10/31/20
R009575,"Appel, Erin ","Capitol Strategies, LLC",Brightview Senior Living,11/01/21-10/31/22
R009572,"Appel, Erin ","Capitol Strategies, LLC",MGM Resorts International,11/01/21-10/31/22
R009570,"Appel, Erin ","Capitol Strategies, LLC",Gannett Fleming,11/01/21-10/31/22
R009566,"Appel, Erin ","Capitol Strategies, LLC",Verizon Communications,11/01/21-10/31/22
R009309,"Appel, Erin ","Capitol Strategies, LLC",Accenture LLP,11/01/21-10/31/22
R005350,"Appel, Erin ","Capitol Strategies, LLC",Chesapeake Regional Information System for our Patients,11/01/20-10/31/21
R005356,"Appel, Erin ","Capitol Strategies, LLC",Erickson Living Management c/o Redwood Capital Investments,11/01/20-10/31/21
R007600,"Appel, Erin ","Capitol Strategies, LLC",Curriculum Associates LLC,03/08/21-10/31/21
R006999,"Appel, Erin ","Capitol Strategies, LLC","DoorDash, Inc.",12/31/20-10/31/21
R005677,"Appel, Erin ","Capitol Strategies, LLC",Tradepoint Atlantic c/o Redwood Capital,11/01/20-10/31/21
R001297,"Appling, Mary Anne ","Funk & Bolton, P.A.","League of Life & Health Insurers of Maryland, Inc.",11/01/19-03/20/20
R005236,"Arneson, Emily ",Kennedy Krieger Institute ,Kennedy Krieger Institute,11/01/20-10/31/21
R010093,"Arneson, Emily ",Kennedy Krieger Institute ,Kennedy Krieger Institute,11/01/21-10/31/22
R002772,"Arneson, Emily ",Kennedy Krieger Institute ,Kennedy Krieger Institute,12/02/19-10/31/20
R003663,"Arrington, Michael E",Capitol Connections,Lee's Liquor Store,02/21/20-10/31/20
R007580,"Arrington, Michael E",Capitol Connections,Robey Towing and Transportation,03/02/21-10/31/21
R003660,"Arrington, Michael E",Capitol Connections,Dispensary Works,02/21/20-10/31/20
R003661,"Arrington, Michael E",Capitol Connections,Tuckers Liquor,02/21/20-10/31/20
R007587,"Arrington, Michael E",Capitol Connections,Indian American Liquor Store Owners of PG County,03/04/21-10/31/21
R007595,"Arrington, Michael E",Capitol Connections,Fast Lane Towing,03/06/21-10/31/21
R007702,"Arrington, Michael E",Capitol Connections,Arcadia Techtronics,04/07/21-10/31/21
R007582,"Arrington, Michael E",Capitol Connections,Evergreen Information Technology Services,03/02/21-10/31/21
R007666,"Arrington, Michael E",Capitol Connections,Avdyne Aeroservices,03/26/21-10/31/21
R003662,"Arrington, Michael E",Capitol Connections,Automotive Talk Towing and Recovery,02/21/20-10/31/20
R003618,"Arrington, Michael E",Capitol Connections,4 Corners Wine and Liquor,02/14/20-10/31/20
R003617,"Arrington, Michael E",Capitol Connections,J &L Towing and Recovery,02/13/20-10/31/20
R007579,"Arrington, Michael E",Capitol Connections,Woodmore Wine and Spirits,03/01/21-10/31/21
R007594,"Arrington, Michael E",Capitol Connections,"Kenny Law Group, LLC",03/04/21-10/31/21
R007615,"Arrington, Michael E",Capitol Connections,Tuskegee Airmen INC.,03/09/21-10/31/21
R006434,"Ascher, Jason ",Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades Association,11/01/20-10/31/21
R002974,"Ascher, Jason ",Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades Association,12/20/19-10/31/20
R002688,"Ashley-Williams, Wandra ","WLA Associates, LLC",Climate XChange,12/01/19-10/31/20
R003127,"Askew, Joseph L.",Verizon,Verizon Communications,01/07/20-10/31/20
R000746,"Atlas, Bob ",Maryland Hospital Association,Maryland Hospital Association,11/01/19-10/31/20
R005605,"Atlas, Bob ",Maryland Hospital Association,Maryland Hospital Association,11/01/20-10/31/21
R009798,"Atlas, Bob ",Maryland Hospital Association,Maryland Hospital Association,11/01/21-10/31/22
R002492,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Hemp Coalition,11/08/19-10/31/20
R003376,"Atticks, Kevin ","Grow & Fortify, LLC",Grow & Fortify,01/17/20-10/31/20
R009091,"Atticks, Kevin ","Grow & Fortify, LLC",Brewers Association of Maryland,11/01/21-10/31/22
R006748,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Hemp Coalition,11/25/20-10/31/21
R009093,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Hemp Coalition,11/01/21-10/31/22
R003402,"Atticks, Kevin ","Grow & Fortify, LLC",Atwater's,01/23/20-10/31/20
R006741,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Wineries Association,11/25/20-10/31/21
R006745,"Atticks, Kevin ","Grow & Fortify, LLC",Brewers Association of Maryland,11/25/20-10/31/21
R002489,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Wineries Association,11/01/19-10/31/20
R002490,"Atticks, Kevin ","Grow & Fortify, LLC",Brewers Association of Maryland,11/08/19-10/31/20
R002491,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Distillers Guild,11/08/19-10/31/20
R009090,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Wineries Association,11/01/21-10/31/22
R006747,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Distillers Guild,11/25/20-10/31/21
R009092,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Distillers Guild,11/01/21-10/31/22
R007390,"Averitt-Sanzone, Rene ",The Parents' Place of MD,"Parents' Place of MD, The",01/28/21-10/31/21
R003332,"B. Stebbins, Dana Brewington",The Cornelius Group,"First Floor, Inc.",01/21/20-04/30/20
R007991,"Baccino, Steven Michael",Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,11/01/21-10/31/22
R003059,"Bacon, Laura  ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,01/03/20-05/01/20
R001476,"Badgley, Christopher ",N/A,Association of Dental Support Organizations,11/01/19-08/04/20
R001496,"Bagwell, Ashlie ",Harris Jones & Malone,"Gordian Group, The",11/01/19-10/31/20
R001498,"Bagwell, Ashlie ",Harris Jones & Malone,Health Facilities Association of Maryland,11/01/19-10/31/20
R001590,"Bagwell, Ashlie ",Harris Jones & Malone,Jewish Community Relations Council of Greater Washington,11/01/19-10/31/20
R001593,"Bagwell, Ashlie ",Harris Jones & Malone,National Multiple Sclerosis Society,11/01/19-10/31/20
R002207,"Bagwell, Ashlie ",Harris Jones & Malone,"Walmart Stores, Inc.",11/01/19-10/31/20
