Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Reporting Period,Lobbyist Compensation,Staff Expenses,Office Expenses,Research Expenses,Communications,Witness Fees or Expenses,Other Operating Expenses,Sponsored Event Expenses,Tickets to Events Expenses,Meal & Bev at Meetings,Meal & Bev for Speaking,Meal & Bev for Officials,Gift expenses,Total Expenses
A005949,"Adams, Jr., Earl",Saul Ewing Arnstein & Lehr LLP,"First Floor, Inc.",01/12/20-04/30/20,"$7,125.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,125.00"
A005159,"Adams, Jr., Earl",Saul Ewing Arnstein & Lehr LLP,"HP, Inc.",12/18/19-04/30/20,"$6,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,000.00"
A005160,"Adams, Jr., Earl",Saul Ewing Arnstein & Lehr LLP,"HP, Inc.",05/01/20-10/31/20,"$6,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,000.00"
A008901,"Adams, Jr., Earl",Saul Ewing Arnstein & Lehr LLP,"First Floor, Inc.",11/01/20-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A008925,"Adams, Jr., Earl",Saul Ewing Arnstein & Lehr LLP,"HP, Inc.",11/01/20-04/30/21,"$2,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,800.00"
A008926,"Adams, Jr., Earl",Saul Ewing Arnstein & Lehr LLP,"HP, Inc.",05/01/21-07/13/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005950,"Adams, Jr., Earl",Saul Ewing Arnstein & Lehr LLP,"First Floor, Inc.",05/01/20-10/31/20,"$6,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,000.00"
A008902,"Adams, Jr., Earl",Saul Ewing Arnstein & Lehr LLP,"First Floor, Inc.",05/01/21-07/13/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005808,"Adkins, Todd",National Rifle Association ,National Rifle Association,01/09/20-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005809,"Adkins, Todd",National Rifle Association ,National Rifle Association,05/01/20-08/03/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A000294,"Albert, David","The Waverly Group, Inc.","J29, Inc.",11/01/19-04/30/20,"$15,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,000.00"
A000295,"Albert, David","The Waverly Group, Inc.","J29, Inc.",05/01/20-05/01/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A011211,"Albert, David","The Waverly Group, Inc.",Carahsoft,11/16/20-04/30/21,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00"
A006835,"Albert, David","The Waverly Group, Inc.",Carahsoft,11/01/19-04/30/20,"$4,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,000.00"
A000285,"Albert, David","The Waverly Group, Inc.","J29, Inc.",10/01/19-10/31/19,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00"
A011213,"Albert, David","The Waverly Group, Inc.",Maximus,11/16/20-04/30/21,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A011214,"Albert, David","The Waverly Group, Inc.",Maximus,05/01/21-10/31/21,"$5,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,000.00"
A006836,"Albert, David","The Waverly Group, Inc.",Carahsoft,05/01/20-10/31/20,"$6,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,000.00"
A011212,"Albert, David","The Waverly Group, Inc.",Carahsoft,05/01/21-10/31/21,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00"
A006833,"Albert, David","The Waverly Group, Inc.",Maximus,11/01/19-04/30/20,"$8,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,000.00"
A006834,"Albert, David","The Waverly Group, Inc.",Maximus,05/01/20-10/31/20,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00"
A008366,"Alexander, Gary","Alexander Strategic Solutions, LLC",Maryland Recovery Association,11/01/20-04/30/21,"$1,703.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,703.00"
A006790,"Alexander & Cleaver, P.A.","Fletcher, Teresa","Alexander & Cleaver, P.A.",05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A004425,"Ali, Ragina",AAA Club Alliance/AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A004424,"Ali, Ragina",AAA Club Alliance/AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,11/18/19-04/30/20,"$4,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,000.00"
A012407,"Ali, Ragina",AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,01/06/21-04/30/21,"$2,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,500.00"
A006092,"Allen, Amanda",Transurban,Transurban,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A007610,"Allen, Amanda",Transurban,Transurban,11/01/20-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A007611,"Allen, Amanda",Transurban,Transurban,05/01/21-10/31/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A006091,"Allen, Amanda",Transurban,Transurban,01/24/20-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A013642,"Alston, Bryan","State Circle Strategies, LLC",Baltimore City Community College,02/01/21-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005340,"Alston, Bryan","State Circle Strategies, LLC",Corteva Agriscience,01/07/20-04/30/20,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00"
A005649,"Alston, Bryan","State Circle Strategies, LLC",Coppin State University-College of Health Professions,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005652,"Alston, Bryan","State Circle Strategies, LLC","CHA, Inc. dba Mary & Main Dispensary",01/13/20-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005660,"Alston, Bryan","State Circle Strategies, LLC",Park Heights Renaissance,01/13/20-04/30/20,"$12,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,000.00"
A005665,"Alston, Bryan","State Circle Strategies, LLC",Baltimore City Community College,05/01/20-10/31/20,"$5,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,000.00"
A013630,"Alston, Bryan","State Circle Strategies, LLC","CHA, Inc. dba Mary & Main Dispensary",02/01/21-04/30/21,"$4,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,000.00"
A013632,"Alston, Bryan","State Circle Strategies, LLC",Park Heights Renaissance,02/01/21-04/30/21,"$12,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,000.00"
A005650,"Alston, Bryan","State Circle Strategies, LLC","TicketNetwork, Inc",01/13/20-04/30/20,"$9,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$9,000.00"
A005651,"Alston, Bryan","State Circle Strategies, LLC","TicketNetwork, Inc",05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005653,"Alston, Bryan","State Circle Strategies, LLC","CHA, Inc. dba Mary & Main Dispensary",05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005655,"Alston, Bryan","State Circle Strategies, LLC","OGOS Energy, LLC",05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005341,"Alston, Bryan","State Circle Strategies, LLC",Corteva Agriscience,05/01/20-10/31/20,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00"
A005654,"Alston, Bryan","State Circle Strategies, LLC","OGOS Energy, LLC",01/13/20-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005656,"Alston, Bryan","State Circle Strategies, LLC",Bon Secours Baltimore Health System Foundation,01/13/20-04/30/20,"$12,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,000.00"
A005657,"Alston, Bryan","State Circle Strategies, LLC",Bon Secours Baltimore Health System Foundation,05/01/20-10/31/20,"$18,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$18,000.00"
A005658,"Alston, Bryan","State Circle Strategies, LLC",GEDCO (Govans Ecumenical Development Corporation),01/13/20-04/30/20,"$1,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,500.00"
A005659,"Alston, Bryan","State Circle Strategies, LLC",GEDCO (Govans Ecumenical Development Corporation),05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005664,"Alston, Bryan","State Circle Strategies, LLC",Baltimore City Community College,01/13/20-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A013636,"Alston, Bryan","State Circle Strategies, LLC",Maryland Alliance of SAI Organizations,02/01/21-04/30/21,"$14,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$14,000.00"
A013644,"Alston, Bryan","State Circle Strategies, LLC",Corteva Agriscience,02/01/21-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A013634,"Alston, Bryan","State Circle Strategies, LLC","TicketNetwork, Inc",02/01/21-04/30/21,"$12,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,000.00"
A013640,"Alston, Bryan","State Circle Strategies, LLC",GEDCO (Govans Ecumenical Development Corporation),02/01/21-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005648,"Alston, Bryan","State Circle Strategies, LLC",Coppin State University-College of Health Professions,01/13/20-04/30/20,"$6,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,000.00"
A005661,"Alston, Bryan","State Circle Strategies, LLC",Park Heights Renaissance,05/01/20-10/31/20,"$18,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$18,000.00"
A005662,"Alston, Bryan","State Circle Strategies, LLC",Tagliata/ Elk Room LLC,01/13/20-04/30/20,"$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00"
A005663,"Alston, Bryan","State Circle Strategies, LLC",Tagliata/ Elk Room LLC,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A013628,"Alston, Bryan","State Circle Strategies, LLC","OGOS Energy, LLC",02/01/21-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A013638,"Alston, Bryan","State Circle Strategies, LLC",Bon Secours Baltimore Health System Foundation,02/01/21-04/30/21,"$12,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,000.00"
A000175,"Altema, Irnande",Mental Health Association of Maryland,Mental Health Association of Maryland,05/01/20-10/31/20,"$4,255.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,255.00"
A011674,"Altema, Irnande",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/19/20-04/30/21,"$32,072.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$32,072.00"
A000174,"Altema, Irnande",Mental Health Association of Maryland,Mental Health Association of Maryland,11/01/19-04/30/20,"$8,510.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,510.00"
A008235,"Amanuel, Yanet",ACLU of Maryland,ACLU of Maryland,05/01/21-10/31/21,"$5,568.85",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,568.85"
A000316,"Amanuel, Yanet",ACLU of Maryland,ACLU of Maryland,11/01/19-04/30/20,"$17,952.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,952.00"
A000317,"Amanuel, Yanet",ACLU of Maryland,ACLU of Maryland,05/01/20-10/31/20,"$8,805.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,805.00"
A008234,"Amanuel, Yanet",ACLU of Maryland,ACLU of Maryland,11/01/20-04/30/21,"$25,604.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,604.00"
A006737,"American Civil Liberties Union, Inc.","Dougherty, Terence","American Civil Liberties Union, Inc.",04/06/20-04/30/20,$0.00,$0.00,"$1,037.00",$0.00,"$8,739.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$9,776.00"
A006738,"American Civil Liberties Union, Inc.","Dougherty, Terence","American Civil Liberties Union, Inc.",05/01/20-10/31/20,$0.00,$0.00,$348.00,$0.00,$669.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,017.00"
A007450,"American Civil Liberties Union, Inc.","Dougherty, Terence","American Civil Liberties Union, Inc.",11/01/20-04/30/21,$0.00,"$4,475.00","$1,825.00",$0.00,"$22,475.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$28,775.00"
A001279,"Amo, Gabriel",N/A,"Home Depot, Inc., The",11/01/19-04/06/20,"$4,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,500.00"
A000460,"Amo, Gabriel",The Home Depot ,"Home Depot, Inc., The",10/21/19-10/31/19,$600.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$600.00
A005593,"Amster, Molly",Jews United for Justice,Jews United for Justice,05/01/20-10/31/20,"$5,136.00",$500.00,$0.00,$0.00,"$7,680.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$13,316.00"
A005592,"Amster, Molly",Jews United for Justice,Jews United for Justice,01/13/20-04/30/20,"$2,582.21",$500.00,"$1,000.00",$0.00,"$5,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,"$9,582.21"
A012390,"Amster, Molly",Jews United for Justice,Jews United for Justice,12/01/20-04/30/21,"$17,029.44","$15,282.57","$4,720.00",$0.00,$750.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$37,782.01"
A006795,"Anas, George",Dominion Energy,Dominion Energy,05/12/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A009727,"Anas, George",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",11/01/20-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A009728,"Anas, George",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",05/01/21-10/31/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$112.50,$0.00,$0.00,$0.00,$112.50
A011783,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",1199 SEIU,11/20/20-04/30/21,"$5,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,200.00"
A011793,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,11/20/20-04/30/21,"$10,880.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,880.00"
A011794,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,05/01/21-10/31/21,"$2,840.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,840.00"
A011796,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",05/01/21-10/31/21,$132.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$132.00
A011800,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.","Horizon Foundation of Howard County, Inc., The",05/01/21-10/31/21,$575.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$575.00
A011798,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",New Venture Fund,05/01/21-10/31/21,"$2,750.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,750.00"
A011787,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Hopewell Fund,11/20/20-04/30/21,"$4,390.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,390.00"
A011791,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Maximus,11/20/20-04/30/21,"$1,992.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,992.00"
A011799,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.","Horizon Foundation of Howard County, Inc., The",11/20/20-04/30/21,"$1,675.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,675.00"
A006197,"Anderson, LaKeitha",RAI Services Company,RAI Services Company,02/04/20-04/30/20,"$1,924.00",$0.00,$0.00,$0.00,$0.00,$0.00,$836.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,760.76"
A006198,"Anderson, LaKeitha",RAI Services Company,RAI Services Company,05/01/20-10/31/20,$74.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$74.00
A011785,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.","Arc of Prince George's County, The",11/20/20-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A011786,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.","Arc of Prince George's County, The",05/01/21-10/31/21,"$2,325.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,325.00"
